username,review,score
Jonoje,"I den nyeste opdatering af iOS er smittestop indbygget og kan aktiveres under indstillinger. Det er derfor ikke nødvendigt at installere smittestop app. 
Hvis smittestop app først har været installeret på en iPhone, er det dog ikke muligt at fjerne smittestop app og kun bruge den som ikke kræver installation af app.
Dvs. hvis man går ind under indstillinger kræver den at smittestop app er installeret når først smittestop app har været installeret én gang.",3
898989RB,"App’en virker desværre ikke på min telefon - en iPhone 8 købt i år. Jeg kender flere, som heller ikke kan aktivere app’en.",1
bcpoll,Is there a languages option on this thing? I only see English notifications - otherwise the entire app is only in Danish?,2
Mankansguikke,"Efter sidste opdatering fra apple, kan jeg ikke få appen til at blive ‘aktiv’. 
Har prøvet at afinstallere - genstarte og genindtallere. Det er umuligt at få den til at blive aktiv.",1
Mikkel Jensen,"App’en melder at den er inaktiv. Når jeg aktiverer den, sker der intet ud over at app’en fortsat melder at den er inaktiv?",1
Kaarde,"Er der forskel på denne app og så den notifikation om eksponering, som Apple lige har frigivet i deres seneste iOS opdatering. 

Skal man have begge?",3
Penyz,Jeg fik forleden en notifikation om mulig eksponering fra 8 et eller andet.. mangler at kunne få mere info om hvad denne besked betyder.. skal jeg gøre noget ? Eller er jeg ikke i tvivl hvis jeg skal lade mig teste ?,4
IOS9erdetgodt?,"Formoder den virker, men har lige opdaget at den automatisk bliver inaktiv. Så man skal holde øje med den ind imellem. Rart at vide, da man ikke bruger den aktivt.",4
YEN Lassen,"Jeg har haft den siden den kom på nettet og intet er blevet indberettet! 
Nu sletter jeg den igen !",1
Miss Merkur,"Hej, 
På min låste skærm får jeg en notifikation med x antal registreringer af at jeg har været tæt på nogen der har været smittet. Men når jeg åbner appen står der ingenting? 
Jeg forstår ikke helt funktionaliteten - skal jeg kigge i Loggen selv eller? 

Det er en super ide, bare ærgerligt at den ikke er mere udbredt - og informationsgivende. Det er lissom om at der mangler noget.",3
#dyr,"Hej
Syndes at i skal ændre alders grænsen på smitte stop til 15+ fordi man har ikke noget nem id når man er under 15 år eller også skal i finde en anden løsning så man kan advare andre hvis man er testet Positivt for Corona.",4
den bekymrene mor,"Jeg har hentet app på min mobil, da i præsentere den. og har tilsyneladende ikke været i nærheden af smittede. Men jeg ved nu at min søn er konstatere smittet ( har dog ikke været sammen med ham, men været forbi og stille indkøbsvarer udenfor huset) hvis / når han nu henter app!! Vil jeg så få besked på at jeg har været tæt på ham eller hvad??? 
Eller har app ingen betydning, hvis ikke han havde den ingen han blev smittet??",4
Anne M Christensen,"Er det muligt at få at vide hvor stor en %-del der bruger appen i Danmark? Jeg har mødt mange der ikke har hørt om den, ikke er interesseret eller ikke bruger den fordi den bruger for meget batteri.",3
Imponeret bruger,"Hvilke sprog er appen tilgængelig på? Kommer der flere sprog, hvilke og i så fald hvornår (gerne med en cirka tidsestimering). :-)

På forhånd tak for hjælpen.",5
Fekser,"Får kun 3 stjerner fordi jeg tror og håber den virker. Notifikationsindstillingerne, eller de beskeder man får, kunne være bedre. Har nu sat dem til vedvarende og altid i indstillinger i håbet om, at jeg får muligheden for at se oplysningerne. Kunne være rart, hvis man i selve app’en kunne se status, hvis man ikke når at den ordentligt i bannerne.",3
brøndbymor,Der sendes ikke besked ved risiko om smitte. Virker slet ikke!,1
T.Vinther,Hvorfor kan Smittestop ikke installeres på ældre end iPhones 6s ???,1
Morduk87,"Var ret begejstret over at se appen, men det tog ikke længe efter download at begejstringen forsvandt.

Som jeg kan se på andre anmeldelser var batteriforbruget en bekymring selv før brug da bluetooth efter min erfaring er ret glad for at suge strømmen ud af telefonen, så jeg startede med at sætte appen inaktiv når jeg var hjemme, og ville så gøre den aktiv når jeg var ude.

Problemet var dog at jeg glemte at gøre den aktiv når jeg faktisk skulle bruge den.

Prøver så holde den aktiv hele dagen og bruge min telefon som normalt, og nu blev min telefon mega varm, og røg ned på 1 % strøm dobbelt så hurtigt som min telefon ellers ville holde.

Så konklusion blev at appen måtte lade livet da jeg har vigtigere apps på min telefon, jeg bruger til fx at komme hjem fra arbejde.",2
Rollerlv,"Med gns. batteriforbrug på 25% pr. dag og senest 45% i dag (app måling) , er uacceptabelt og under alt kritik. Dette bevirker, at visse (inkl. mig) vil slette app igen.
Ps. Jeres argument omkring Bluetooth holder ikke, eller heller aktiv/inaktiv holder ikke i praksis (glemmer dette).",1
kaldenavnInge,"Forklaringerne i, hvordan appen virker er meget tekniske! Jeg har to gange fået en notifikation (ikke en besked) om “eksponering for covid-19”, men hvad betyder det på pæredansk? Jeg tror jo, at nogen i nærheden af mig har covid-19, men stavepladelæser mig frem til, at det må være fordi appen minder mig om, at den er i gang! Nye klare korte letforståelige forklarende tekster tak!",3
Bolledej,"Virker ikke. Jeg ved at jeg har været i kontakt med  en smittet, men der kommer intet frem på appen om det. Så for mig er det en falsk tryghed.",1
Sgt Humpy,"Ikke muligt at se om appen rent faktisk virker, om den registrere at man har mødt x antal personer. 

Lidt personligt statistik ville være dejligt.",1
Tårnuglen,Burde også kunne køre på Apple Watch,3
Fr. Havn,Kan ikke rigtig forstå at man kan være i nærheden af en smittet. Hvis man VED man er smittet skal man jo ikke bevæge sig rundt i samfundet!,1
Chris210978,Jeg mangler lidt at man skal lave et ekstra tryk der hvor man registrere at man er testet positivt. Jeg havde ikke læst ordentlig at man registrere sig som positiv hvis man logger ind med nemid ( og ja fint af mig at jeg ikke har læst det ordentlig men tænker at andre er lige så dumme som mig),3
René Bertelsen,"Ved godt i er i dialog med Apple ect. Men har i været længe nu, og stadig ingen løsning så har afinstalleret den igen da den har et strømforbrug på 20-35% og telefonen bliver meget varm.... Ikke godt nok... Sorry",1
SusseG,"When trying to download the app, a notification pops up stating that I cannot download the app because IOS version 13.5 or later is required. However, my iPhone’s iOS version is 13.6.1...",1
Mikkelborg,"Skal man have app’en åben i baggrunden, for den virker?
Eller er det nik, man har download den?",4
Josefine MG,"På trods af at SmitteStop app’en har været installeret mere end 14 dage og selv fortæller at den er aktiv, så har den ikke kontrolleret listen over eksponeringer en eneste gang? Når man kigger på iOS’ COVID-19 indstillinger, så fremgår det tydeligt at app’en aldrig har undersøgt eksponeringer: “Dit eksponeringslogarkiv er ikke blevet kontrolleret i de seneste 14 dage”",1
Patr1ck0!!,Hvis jeg lytter til musik med mine Bluetooth-hovedtelefoner imens denne app er aktiv mister jeg konstant forbindelsen. Hvis jeg vil have det til at fungere skal jeg hele vejen ind i indstillinger for at slå Bluetooth fra og til igen eller lade vær med at bruge denne app overhovedet..,3
Cuttyranks1,"Når min bluetooth er deaktiveret står der stadig “aktiv - du hjælper nu..” osv osv

Virker appen reelt når bluetooth er slukket?",3
mathias :-),"God og enkel app med sikker og privatlivs-sikker teknologi bag, tak for det! 

Jeg kan dog tilslutte mig andre brugeres ønske om at få information i app’en om at den faktisk er aktiv ala “Du har udvekslet X antal nøgler/koder med andre”. 

Desuden kunne jeg ønske, at App’en giver besked om at være inaktiv, hvis man kommer til at slukke for Bluetooth. Det kommer mange nemt til af vane.",4
Strejfer2,"Da jeg sjældent tager min mobil med, men aldtid har mit iWatch på, vil det være rigtig godt hvis appen også virker på smartwatch",4
Ole Wu,"Jeg vil selvfølgelig gerne have og bruge denne app, men min telefon blev meget varm så jeg slettede appen igen. Er det mon gps/lokations-funktionen som gør den varm?",1
Kll3600,"Jeg har flere gange oplevet, at appen har været inaktiv, når jeg åbner den. Da jeg jo ikke åbner den hver dag, kan den derfor have været inaktiv i måske en uge ad gangen. 
Det giver en falsk tryghed om, at man vil blive advaret, om evt smitte, når appen jo ikke registrerer noget, når den er inaktiv.",2
a person (wow impressive huh),"Jeg har heldigvis kunnet installere app’en, men jeg har lige fundet ud af at min ven, der har en iPhone 6, ikke kan downloade det fordi hans telefon ikke har en ny nok opdatering. Jeg er ikke sikker på om I kan lave en version på det ældre software, siden I tydeligvis ikke har inkluderet det, men det er en kæmpe hindring på hvem der kan downloade app’en. Specielt når man tænker på hvor mange ældre slet ikke har smartphones, eller hvis de har, har en endnu ældre, som for eksempel en iPhone 4. 
Jeg ved at det er et generelt problem for mange apps, formentlig på grund af at Apple gerne vil sælge flere telefoner, og jeg er som sagt ikke sikker på om I kan have en app der virker på tidligere iOS-opdateringer, men når det er statsudviklet og garanteret et problem for andre lignende apps fra andre lande, må det kunne være muligt for Forbrugerombudsmanden og lignende autoriteter i andre lande eller i EU, at prøve at bryde gennem og forlange en måde at forlænge smittestopsapps til en større del af befolkningen, med tidligere opdateringer på deres telefoner, der ikke burde være tvunget til at købe en ny telefon for at vide om de skal blive testet eller ej. 
Tak på forhånd for at læse dette her, og jeg håber I tager dette her meget seriøst, siden det på allermest bogstavelige forstand er gravalvorligt.",3
Gitte S. Mogensen,Jeg får konstant beskeder op om at smittestop appen ikke supporteres i dette område og at jeg skal bekræfte hvilken app jeg bruger. Overvejer at fjerne den igen...,1
enfen,"Ideen er fin. Simpelt design. Men der skal jo heller ikke bruges tid i selve app’en. 

Men lad os tale om det største problem - strømforbruget. Det er simpelthen alt for højt. Over en 10 dages periode står
app’en for 20% af mit strømforbrug (på en iPhone 11 Pro). 

Det er fint, at I er i dialog med Apple. Men hvad er tidshorisonten? Hvad hjælper det med en Covid-19 app, hvis alle sætter den til ‘Inaktiv’?",2
Airbusguy77,"Kan man ikke give NUL stjerner 
Tiltrods for at naboen er testet positiv for Corona og efterfølgende har registret sig som man skal 
Og jeg har været tæt på naboen med begge telefoner aktive i mere end en time
Har jeg 3 uger efter stadig ikke modtaget besked på appen 
Så den bliver slettet igen den er en falsk tryghed 
Ærgerligt da initiativet ellers var godt",1
Jthyge,"Jeg har brugt appen siden den blev frigivet, troede jeg. Appen er blevet deaktiveret, uden jeg var klar over det. 
Det burde ikke kunne ske.",2
annedammen,"Hvis jeg kigger på Eksponeringskontroller under Indstillinger på min telefon, kan jeg se, at den seneste logning er fra 21. juli. Jeg ved med sikkerhed, at jeg har været sammen med andre, der har app’en siden da. Betyder det, at app’en er stoppet med at fungere, eller hvorfor stopper logningen pludselig? Jeg har tidligere oplevet det samme, hvor jeg så slettede og geninstallerede app’en. Herefter startede logningen igen.",2
God og nem indkøbs app.,"Hej
Jeg er glad for jeres app, men synes at den bruger meget batteri. 
Især om natten hvor jeg oplever at appen er den eneste app, som bruger batteri på telefonen. 
mvh
Heidi",4
Lars LPS,"Har man en iPhone 6 så kan man desværre ikke få iOS 13,5 og dermed ikke downloade app’en. Lav den så alle kan få “glæde” af den",2
lhgthjhd,"Når man nu gerne vil have smittestop-appen og har en IPhone 6, hvad gør man, når man ikke kan softwareopdatere til IOS 13,5?",1
kfmdnnfnndnd,"Jeg har nu haft appen i ca 14 dage. Og den er ca. opdateret 3 gange i løbet af se 2 uger. Jeg kunne potientielt have stoppet flere spredninger hvis de oplevede deres potientiale og gjorde opmærksom på smitte omgående.  Jeg har nu ikke haft en opdatering i 4 dage og kunne potientielt have været smittet i de dage!! Hvordan skal denne app kunne stoppe noget som den slet ikke følger op på??!! 

!!!!!!!",1
Theilldk,"Den er min telefonsapp som bruger mest strøm af alle app. Og denne er kun en baggrundsapp, og bruger Bluetooth i baggrunden, men er nu ikke imponeret",4
Ibbobbensen,"Får nogle gange nedenstående, men når jeg tjekker er det slået til?

(Område for notifikationer om eksponering er ændret.
Du skal bekræfte hvilken app du bruger i 
Indstillinger. )

Virker den eller birker den ikke ?",3
Joggeny,25% er alt for meget... burde ikke bruge mere end 1-2%...,1
Theo K.,"Appen kommer ofte frem og siger noget i stil med områder hvor den ikke virker. Det er ikke særlig betryggende.

Derudover frigiv nu kildekoden. Det er kun usikkert hvis det ikke er gennemarbejdet kode.",2
Yiir,Når folk henter den skal de huske at Bluetooth skal være tændt 24/7 og da Bluetooth er en åben kanal er den rigtig nem at hacke og den vej stjæle oplysninger og selvom de påstår de er krypterede så kan jeg love jer for at de sagtens kan læses,1
EPRCT,"Det er ikke optimalt at sende en så vigtig en app ud når man ved at den har et stort strømforbrug , det er jo ikke alle der har mulighed for at få laddet op løbet dagen og dermed forsvinder hele formålet med appen.
Det er forfra !!!!",2
nalarsen,Appen bruger via appen “Sundhed” ca. halvdelen af mit strømforbrug på min iPhone 8. Det kan ikke være rigtigt at en app skal sluge så meget strøm. Det må kunne gøres bedre.,1
Elizabeth Lorentzen,Hvis yngre har appen og de ikke har nem-id hvad skal de så gøre?,1
Anamenotusedorwhat,"Tak for svar, og opdatering ;)",5
Bjarnman,"Min iPhone SE gik tør for strøm idag selv om jeg ikke havde brugt den manuelt. Strømforbruget var gået næsten udelukkende til denne app, selv om jeg ikke har været nogen steder, 84% har appen tappet og der var 92 % batteritid i morges. 
Jeg har ikke engang været uden for matriklen hele dagen og har ikke været i bluetooth rækkevidde af andre apps og jeg plejer at have rigelig strøm sidst på dagen, men altså ikke efter 84% batteriforbrug i dag til “Logning af eksponering for Covid-19”.

Duer ikke og afinstalleres, indtil appen optimeres så den ikke vil være en belastning i forhold til at “malke” batteriet, men jeg tvivler på, at det er muligt da apps der kører i baggrunden ofte sluger meget strøm.
En løsning kunne måske være en nem aktivering/ deaktivering så den kan slås fra når man ikke er på farten, men det vil jo ikke hjælpe dem der er afhængige af, at deres mobiltelefon virker i længere tid uden behov for opladning, hvilket jo er et must for en god mobiltelefon, og som desværre ikke er optimalt på iPhones.",1
Naztrida,"App’en er i sig selv fin. Dog har jeg flere gange fået en push-notifikation om, at der ikke er nok lagringsplads til at levere notifikationer. ‘Din iphone skal bruge mere lagringsplads til at opbevare disse id’er.’
Jeg bruger godt halvdelen af de 64 GB på min iPhone, så det virker ret besynderligt?",4
Kristian@,"Vil nødigt stikke en kæp i hjulet men har foreløbigt deaktiveret appen. Den er klart største strømsluger på min telefon. Over de sidste 10 dage har den slugt 20% af al batteri og har været åben 1 min. Næste på listen har slugt 9% som er Safari og YouTube som jeg bruger klart mest på telefon..
Kan være jeg genoptager hvis smittetrykket stiger.
Jeg kan ikke finde ud af præcist om man får beskeder om kontakt inden dato for smitte konstateres. F.eks. Hvis en bliver konstateret smittet en fredag får ved kommendes kontaktflade gennem de seneste dage så besked da man også skal indberette formodet smittetidspunkt- eller gælder det kun fra når bruger opdager det/får diagnosen?",2
Wildheart187,"Intentionen med appen er god, men desværre fryser appen min telefon med jævne mellemrum i 5-15 sekunder, Dette holdte op da jeg afinstallerede - Telefonen er en iPhone 11 med nyeste opdatering. Håber det er noget i vil undersøge :)",2
Johanelmander,Med et strømforbrug på 32% over 10 dage har jeg valgt at slette den. Det er ikke godt nok.,1
hamibe,"Virker fornuftig med databeskyttelse.
Vigtigt værktøj i kamp mod covid19",5
Anonymous111118,Hvor er det typisk lige at glemme muligheden for engelsk. #pinligt,4
Sjamus,"Ville da gerne installere app’en, men man skyder da sig selv i foden fra start, ved ikke at give folk med ældre styresystemer muligheden. Det bør laves om.",1
bizzzo,"This app is easy to use. Install it, start it up, accept the use of bluetooth interact between other phones.
Before the app can be any help at all, the app and the main functionality is total reliable of people, that they are honest AND do activate the switch “I am tested positive “ . I just have my doubt that people will do that, maybe they just forget it, or the stop up and don’t do it because they have to use NEM ID. Since this ID is personalized they might think “why should I tell who I am” . I think it’s important to explain more deeply what happens when you activate the “switch” that “I am tested positive”. 
It’s a good way to have this secured “nem ID” check, because if there wasn’t any control at all, then everybody, just to have some “fun”, could say that they were positive. 
Germany have a similar app that works the same way, but as I know they don’t have NEM ID, so how can they then trust what’s true or false “positive” 
App developers of the danish app, seems to have thought about everything, but to calm down skeptical upcoming users, and get more people to use it, there should be a more precisely statement within the notice that “no personal information of any kind that can point back to you or be used in...bla..bla..bla” , is more visible, and especially when it comes to the point where you use the NEM ID, since this is your “personal” ID. 
Get the app now, and let’s bring this virus to a minimum.",4
det passer ikke,Hvor længe bliver de tilfældige ID’er lagret i min telefon?,3
Triis1,Jeg oplever desværre at App dræner Iphone for strøm og telefon bliver meget varm. Jeg kan se den står for 20-25 % af dagens batteriforbrug.,2
tuzem_2,I applaud the idea but it’s useless if my phone is running out of power in mid afternoon.,3
CKRavn,Godt koncept. Har endnu ikke modtaget meldinger om smittede nær mig.,5
s_panayotov,"Only available in Danish. 
For an app target towards everybody residing in Denmark, this is a huge failure. No matter how short the project deadline is, accessibility for such a simple app is #1

Update: But most importantly - publish it as Open Source!",1
jes00jes,Håber MANGE flere installere og bruger denne app fremover. Der intet at tabe og alt at vinde. Frygter dog alt for få personer vil bruge den.,5
Mogens -6100,På min iPhone 8 bruger denne app en rigtig stor del af det daglige strømforbrug (25%),3
Adina88,"I know it’s for Denmark, but it would be nice to have an option to switch language to English",1
Rene Thorarinsson,Denne app er en selvfølgelighed på min telefon af hensyn til at vi kan få styr på COVID-19 spredningen. Dog kunne jeg tænke mig noget optimering af app’en på strømstyringen. Den kræver meget hyppige opladninger af min smartphone.,3
Abdalrahman Attya,Could you add English version. Thanks,5
et kaldenavn på 30tegn,"Jeg syntes at det er en god ide med en app. men når jeg trykker at gå inaktiv, siger den at jeg ikke for beskeder fra app’en. det ville være rart hvis man kunne nøjes med at have den til når man bare gik en tur. Der er også noget andet jeg er tvivl om, hvis jeg tager Bluetooth fra giver appen mig så beskeder? Jeg ville gerne kunne være inaktiv fra Bluetooth men stadig få beskeder.",3
Useriøst,"App'en kan blive et super vigtigt værktøj ift at stoppe Covid-19 smittespredning.

Jo flere der installere den jo nemmere blir det at stoppe smitten, og Covid-19 ser ud til at blive hængende noget tid endnu.",5
vjshenoy,A very good move by Sundhed to get this app to the people. It could be great if there is a possibility of having to select English as a language too in the settings.,5
-love-you-kathrine-,Det  er ondsvagt lavet  for folk er jo ikke ude vis de er ramt af covid 19,1
vindvad,"Ifølge batteriindstillingerne på min telefon tager appen 80% af strømmen på min telefon, så den dør et par timer efter opladning",1
KB Nielsen,"Efter jeg har installeret app’en, løber jeg hurtigt tør for strøm. Fx kan 40 procentpoint forsvinde om natten, selvom jeg har flytilstand slået til, så det er slut med at bruge telefonen som vækkeur. Jeg kan under batteriindstillingerne se, at Apples Sundheds-app nu står for uforholdsmæssigt stort strømforbrug (indsamler data til Corona-app’en). Jeg har en ny iPhone 8 og nyeste version af iOS.",1
Husam ej,I wish it’s also in English it will help a lot of none danish leaves in Denmark.,4
8800 Viborg,"Derudover virker det ikke logisk, at den ikke registrere udlændinge (som jeg tilfældigvis kan sidde 3 timer sammen med i et tog).",1
Rene nielsen,Hej. Skal appen være tænkt for at virke eller må den godt bære lukket ? Arbejder den i baggrunden ?  Mangler lidt info i appen.,5
T. Wehmeyer,"Det en rigtig fin app, men er lidt ked af at 14% af mit batteri dagligt bruges af denne app/teknologi.",4
Jorasik89,"Great to see Denmark adopting a privacy oriented and efficient from technological perspective solution. 

My questions for all governmental apps using google/Apple Covid 19 api is if there is cross country and border communication?
In other words if a citizen of another country that uses a similar app based on the api visits Denmark and then later tests positive for COVID 19 will danish citizens get a notification?  And of course vice versa - for Danish citizens traveling abroad.

It will be great to know if this functionality is limited to the local country issuing the app or works worldwide.",5
tqibd,"God idé, men bruger desværre for meget batteri i nuværende version.... (iPhone 8)",2
demkjær,Skal oplade telf mindst 2 gange daglig derfor afinstalleret igen,1
Mads Gorm Larsen,God løsning,5
Anders 3713,God app :) håber at så mange som muligt installere .,5
Kristiandyrs,Generelt en fin app men der er store problemer som at selvom man slår registrering til og selvom man ikke er testet positiv vil det fremgå at man er testet positiv hvilket er noget skød så nu har jeg slettet appen det er simpelthen for useriøst,2
Anders.S,"Crasher efter under 48 timers brug, ikke betryggende. 
iOS 13.5.1, Smittestop 1.0.1.",1
Cph 505,"Bruger absurd meget batteri iflg indstillinger. Nødt til at fjerne app igen, da min tlf skal kunne holde mere end få timer.",1
Martin_1967,"Har en iPhone 11 som nu skal oplades oftere efter app’en installeret. Ikke så smart, hvis der ikke kommer en version, der bruger mindre strøm.",2
Frank Bech,"Ingen ved sine fulde fem, ligger ud på Appen via nemid, at de er smittet - og samtidig drøner rundt ude i det offentlige rum. Alle ved, at hvis de er smittet, så skal de blive hjemme og gå i karantæne.
“Har slettet den”",1
Jonas Friberg,"Den kører fint på se og oplever ikke væsentlig ændret batteritid. 
Jeg er lidt i tvivl om man må slukke appen og den så vil køre i baggrunden. Indtilvidere holder jeg den åben. Så savner lidt en instruktion i det.",5
amriar2020,I was expecting English version at least for such important app. Not only danes live in danmak. I believe it is difficult to use the app for the single language interface.,1
Jmolgaard,"Da den anvendte teknologi kræver de nyeste IOS versioner er brugere af ældre iPhones afskåret fra brug af app og dermed fra at bidrage til sporing. 
Man må håbe, at superspredere alle besøges af folk med nyere mobilos!!",2
Manifestt,Afstand 1 meter i 15 minutter før den registrerer. Det må da være en joke. Virus smitter altså ikke efter 5 eller 10 min?? Total spild af alle de millioner hehe,1
Erland de la Motte,"Virker ikke,hvis  man ikke har Nem if,og det er der mange ældre der ikke har",1
bmw m240i,"1.)
Smitte stop bruger kun i Danmark.
Mange dansker rejser til EU-lande.
Det er vigtigt, smitte-stop kan bruge i EU-lande. 

2.)
Også bruger Apple Watch smitte-stop app.
Husk app kan bruge gamle version til watch Series 1, 2, 3, 4, 5

3.)
Ingen vibration",2
Marcus Redder,"Hej,

Jeg er allerede vild med den nye app, men den kunne blive endnu bedre hvis man kunne se det aktuelle status af coronavirus i Danmark",5
Ingolf 52,For dårligt at man skal have den nye opdatering ikke alle telefoner der kan klare det Det er udover underligt at den ikke kan downloades på iPad,1
CopHag,"Min far har en IPhone 5s, og der virker det ikke, da appen kræver IOS 13.5, som ikke understøttes på ældre mobiler. Ærgerligt, da flere borgere så bliver afskåret fra at kunne bruge appen og undgå øget smittespredning",1
janus1992,"Husk af aktivere bluetooth, appen gør det ikke selv, ved start af app.",4
Gydedrengen,"Virker som en fin app, Men Men Men, jeg har 2 forældre som har iPhone 6 der kun har iOS 12.4.7 og man kan derfor ikke hente den til deres iPhones. Håber at det bliver løst, for det er jo ikke alle der har brug for at skifte til nye modeller.",3
nicolade2000,"...men der udelukkes en del, når man som min. skal have iOS 13.5 installeret. Ældre skifter ikke iPhones ligeså hurtigt som de yngre; det betyder at en stor relevant risikogruppe ikke kan deltage. Det må være muligt, at få en relativ simpel app til at fungere med nogle versioner tilbage - for alles skyld!!!",4
Albert Fjord,"Simple app, but lacks a English and German version as we are opening the boarders. Should be fixed quickly.",3
tuananhlee,"It is good to stop Covid 19, and we could come back normal life soon.",5
Kenneth Risgard iPhone X,"Sundshedsstyrelsen danske corona app er netop udkommet her til morgen. 

Design: enkel overskuelig 

Vejledning: Smukt enkel sprog

Dens Funktion: håber jeg ikke at opleve 

Note: bliver spændende hvor strømkrævende bluetooth afsøgningen af nærmiljøet vil være. Tænker godt, at den kan være hård ved iPhones batteri, i et urbant miljø, hvor der er mange andre brugere af app’en.",5
Ngo112,Tog 15 sekunder at sætte op,5
Kemmey,Tak fordi I fik med Apple/Google løsningen - den har rent faktisk en chance for at gøre en marginal forskel. Håber inderligt alle tager del og henter denne app ned!,5
AdulthoodIsDifficult,Skal være mere udbredt for at fungere,5
Mathias981663,..,2
